Company Name,Person Name,Sales Cycle,Decision Location,Wallet,In our Estate
Big Shock s.r.o.,Raid Namura; Ratib Nammura; Hana Namurová,1-3m,Prague,€40k,THIN
"Budějovický Budvar, národní podnik",Petr Dvořák,3-6m,České Budějovice,STUDY,THIN
CHODOVAR spol. s r.o.,Jiří Plevka; Jan Plevka,UNKNOWN,Chodová Planá,BELOW FLOOR,ABSENT
"Coca-Cola HBC Česko a Slovensko, s.r.o.",Dimo Dimitrov Dimov,3-6m,Prague (legal pen) — decision layer unresolved,TIER 1,PRESENT
"Heineken Česká republika, a.s.",Zuzana Železníková,6-12m,Krušovice — insight authority Heineken European/global,STUDY,PRESENT
Hell Energy Drinks Czech s.r.o.,Tomáš Grosch,3-6m,Hungary (parent) — nominal Prague,STUDY,PRESENT
Kofola ČeskoSlovensko a.s. / Kofola a.s.,Daniel Buryš; Jannis Samaras (owner override),1-3m,Ostrava / Krnov,TIER 1,CORE
"LINEA NIVNICE, a.s. (Hello)",Gabriel Slanicay,3-6m,Nivnice,€40k,UNKNOWN
"LINEA NIVNICE, a.s. (Hello)",Gabriel Slanicay,WEEKS,Nivnice,STUDY,UNKNOWN
MASPEX Czech s.r.o.,,3-6m,"Wadowice, Poland — nominal Prague",STUDY,UNKNOWN
Mattoni 1873 a.s.,Ondřej Postránský; Alessandro Pasquale,3-6m,Karlovy Vary,TIER 1,PRESENT
PEPSICO CZ s.r.o. — rights held by Mattoni 1873 a.s.,,UNKNOWN,Karlovy Vary (Mattoni 1873),BELOW FLOOR,ABSENT
"PIVOVAR SVIJANY, a.s.",Miroslav Kučera; Tomáš Kučera (LIF),3-6m,"Svijany / Liberec (LIF, a.s.)",€40k,THIN
Pivovary CZ Group a.s.,,UNKNOWN,n/a — sits inside Kofola,UNKNOWN,ABSENT
"Pivovary Lobkowicz, a.s.",,6-12m,Prague — ultimate ownership opaque,BELOW FLOOR,THIN
Pivovary Staropramen s.r.o.,,3-6m,Prague — also Molson Coors Central Europe seat,STUDY,PRESENT
"Plzeňský Prazdroj, a.s.",Michał Mrowiec,3-6m,"Plzeň — escalation Asahi Europe, Prague",€40k,PRESENT
PRIMÁTOR a.s.,,UNKNOWN,"Náchod — owner LIF, a.s. (Liberec)",BELOW FLOOR,ABSENT
Rauch Praha spol. s r.o.,,1-3m,"Prague (CZ/SK marketing) — oversight Rankweil, AT",STUDY,PRESENT
"RED BULL Česká republika, s.r.o.",,6-12m,"Fuschl am See, Austria (Red Bull GmbH)",STUDY,PRESENT
Rodinný pivovar BERNARD a.s.,Stanislav Bernard,3-6m,Humpolec,€40k,THIN
STOCK Plzeň-Božkov s.r.o.,Romana Jourdren,3-6m,Plzeň,€40k,UNKNOWN
Toma / Poděbradka (no independent entity),,UNKNOWN,n/a — inside Coca-Cola HBC / Mattoni,UNKNOWN,ABSENT
