Company Name,Person Name,Sales Cycle,Decision Location,Wallet,In our Estate
"Agras Delic S.p.A. (Stuzzy / Schesir, unconfirmed)",,UNKNOWN,"Genoa, Italy (presumed)",STUDY,PRESENT
AKINU CZ s.r.o.,Jana Kaufmanová,WEEKS,Horoměřice (Prague-West),STUDY,ABSENT
Animonda / Rinti (no CZ entity),,6-12m,Germany (heristo / Animonda) — or Poděbrady (Plaček),STUDY,CORE
AQUARIMEX s.r.o.,Tomáš Kutal; Helena Svobodová,WEEKS,Prague,BELOW FLOOR,THIN
"AVEFLOR, a.s. (Arpalit)",Jan Zubatý,1-3m,Budčeves (Jičín),STUDY,THIN
BAFPET s.r.o.,Milan Kubelka (sales rep; officers not retrieved),WEEKS,Sokoleč (Poděbrady),BELOW FLOOR,CORE
"Beaphar Eastern Europe, s.r.o.",František Polda; Dušan Plaček,WEEKS,Poděbrady,€40k,CORE
"Beaphar Eastern Europe, s.r.o.",Dušan Plaček,1-3m,Poděbrady,STUDY,CORE
CANVIT s.r.o.,František Bouška,1-3m,Chrášťany (Prague-West),STUDY,PRESENT
Dibaq a.s. (Fitmin),Petr Křivohlávek; Marek Volockij,3-6m,Helvíkovice (Žamberk),STUDY,THIN
Elanco Tiergesundheit AG — Czech branch,,6-12m,Switzerland / Germany (Elanco),STUDY,THIN
Farmina Czech Republic s.r.o.,Angelo Russo,3-6m,"Nola, Italy (nominally via Brno)",€40k,PRESENT
Farmina Czech Republic s.r.o. (N&D),Angelo Russo,1-3m,"Nola, Italy (nominally via Brno)",€40k,CORE
"Finnern GmbH & Co. KG (Kattovit / Miamor, no CZ entity)",,6-12m,"Verden, Germany — or Poděbrady (Plaček)",STUDY,PRESENT
Hill's Pet Nutrition s.r.o.,Pavel Behenský; Petr Faltejsek,3-6m,Colgate/Hill's Central Europe hub — nominal Prague,€40k,PRESENT
I love pets s.r.o. (O'lala Pets),Šárka Rujbr,WEEKS,Kunštát,STUDY,CORE
JK ANIMALS s.r.o. (Sam's Field),Josef Kvapil,WEEKS,Bystřice (Frýdek-Místek),STUDY,THIN
"KIWI WALKER, s.r.o.",Jan Rácz,WEEKS,Únětice (Prague-West),BELOW FLOOR,CORE
Mars Czech s.r.o. (Mars Petcare + Champion Petfoods),Mariusz Łukasz Makowski,6-12m,"Warsaw (Mars CEE, plausible) — nominal Prague",STUDY,ABSENT
Nestlé Česko s.r.o. (Purina),Lenka Škopová (statutory); Purina CZ/SK BU lead unnamed,3-6m,Prague,STUDY,THIN
NOVIKO s.r.o. (Calibra),Lukáš Pravda; Jan Trnavský,6-12m,"Brno (nominal) — Dutch holding, PL/UK officers",€40k,THIN
NUTRIN s.r.o.,Ondřej Nikl,WEEKS,Dobruška,STUDY,THIN
Partner in Pet Food CZ s.r.o.,Petr Ludvík; Stéphane Re,3-6m,Prague (unresolved),€40k,ABSENT
Plaček Pet Products s.r.o. (Super zoo private label),Dušan Plaček; Luboš Rejchrt,WEEKS,Poděbrady,€40k,CORE
Plaček Pet Products s.r.o. / PLAČEK PREMIUM s.r.o.,Dušan Plaček; Luboš Rejchrt,1-3m,Poděbrady (SK: Bratislava),€40k,CORE
Rolf C. Hagen (no CZ entity),,6-12m,"Montreal, CA / Holm, DE — or Poděbrady (Plaček)",STUDY,CORE
Royal Canin Czech & Slovak Republics s.r.o.,,6-12m,"Warsaw (Mars Pet Nutrition CEE, plausible) — nominal Prague",STUDY,ABSENT
Spectrum Brands s.r.o. (Tetra / Eukanuba / IAMS),David Zaorálek (local contact),3-6m,"Melle, Germany (Spectrum Brands Global Pet Care)",€40k,CORE
Tamer s.r.o.,Jan Marek; Josef Kunášek,WEEKS,Kolín,STUDY,CORE
"TRIXIE CZ, SE",Jiří Trnka,WEEKS,Střelice (Brno),STUDY,CORE
TRIXIE Heimtierbedarf GmbH & Co. KG,,6-12m,"Tarp, Germany",€40k,CORE
VAFO Group a.s.,Pavel Bouška,1-3m,Chrášťany (Prague-West),TIER 1,CORE
"VAFO PRAHA, s.r.o. (Brit)",František Bouška,1-3m,Chrášťany (Prague-West),€40k,CORE
Versele-Laga N.V. (no CZ entity),,6-12m,"Deinze, Belgium — or Poděbrady (Plaček)",STUDY,PRESENT
Vitakraft CHOVEX s.r.o.,Jindřich Mackowski,1-3m,Třanovice,STUDY,PRESENT
Vitakraft CHOVEX s.r.o.,Jindřich Mackowski,3-6m,Třanovice,STUDY,PRESENT
